time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1107,-0.050752,0.007320,1.038464,0.350000,-0.770000,0.770000
1217,-0.046848,0.001952,1.037976,0.560000,-0.770000,0.840000
1330,-0.049288,-0.000488,1.035048,0.490000,-0.770000,0.770000
1455,-0.049776,-0.000976,1.031144,0.420000,-0.840000,0.770000
1572,-0.049288,0.000000,1.036512,0.350000,-0.770000,0.700000
1685,-0.049776,0.001464,1.035048,0.420000,-0.700000,0.630000
1803,-0.049288,0.002928,1.035536,0.490000,-0.700000,0.770000
1921,-0.049288,0.007808,1.039928,0.770000,-0.770000,0.700000
2055,-0.051240,0.007808,1.036512,0.840000,-0.700000,0.420000
2169,-0.044408,0.005368,1.038952,0.560000,-0.840000,0.700000
2298,-0.055144,0.003416,1.031632,0.350000,-0.840000,0.840000
2419,-0.049288,0.005856,1.037488,0.350000,-0.770000,0.700000
2545,-0.048312,0.006344,1.037488,0.560000,-0.840000,0.770000
2670,-0.051728,0.003416,1.035048,0.700000,-0.840000,0.840000
2799,-0.046360,0.002440,1.036024,0.490000,-0.840000,0.770000
2915,-0.049776,0.002928,1.035048,0.490000,-0.840000,0.840000
3056,-0.047824,0.004392,1.036512,0.560000,-0.770000,0.770000
3182,-0.048312,0.006344,1.036512,0.490000,-0.770000,0.840000
3300,-0.047824,0.002440,1.034072,0.210000,-0.770000,0.280000
3427,-0.044408,0.000488,1.036512,0.840000,-0.700000,0.280000
3538,-0.049776,0.001464,1.037000,0.490000,-0.770000,0.840000
3667,-0.050264,0.004392,1.036512,0.420000,-0.770000,0.770000
3793,-0.045872,0.001952,1.033096,0.210000,-0.840000,0.070000
3920,-0.044408,-0.002928,1.030168,0.560000,-0.840000,-0.420000
4054,-0.048800,0.000000,1.034560,0.070000,-0.770000,-0.980000
4179,-0.045872,0.004880,1.037976,0.490000,-0.770000,-0.840000
4304,-0.048312,0.002440,1.037976,0.630000,-0.840000,0.910000
4423,-0.052216,-0.000976,1.043832,0.210000,-0.770000,-0.420000
4549,-0.049288,0.000488,1.032608,0.420000,-0.770000,0.700000
4679,-0.049288,0.008296,1.012600,0.770000,-0.770000,0.630000
4793,-0.061000,0.008296,1.046272,0.140000,-0.770000,-1.820000
4908,-0.048312,-0.001952,1.038464,0.420000,-0.770000,0.980000
5024,-0.044408,0.001464,1.037488,0.490000,-0.770000,0.840000
5169,-0.047824,0.001464,1.038952,0.630000,-0.700000,0.700000
5295,-0.048312,0.002440,1.042856,0.630000,-0.700000,0.840000
5416,-0.049288,0.002440,1.040416,0.770000,-0.770000,0.770000
5542,-0.055144,0.000488,1.032120,0.560000,-0.840000,0.770000
5660,-0.049288,0.000976,1.052128,0.350000,-0.770000,0.770000
5781,-0.051728,0.003416,1.035536,0.630000,-0.840000,0.770000
5911,-0.043920,0.001464,1.038952,0.630000,-0.840000,0.840000
6021,-0.049288,-0.003416,1.036024,0.490000,-0.840000,0.630000
6166,-0.045872,-0.001464,1.038464,0.420000,-0.840000,0.840000
